Patient	initialCOI
Bangladesh-01	3
Bangladesh-02	3
Bangladesh-03	1
Bangladesh-04	3
Bangladesh-05	2
Bangladesh-06	1
Bangladesh-07	2
Bangladesh-08	3
Bangladesh-09	4
Bangladesh-10	3
Bangladesh-11	1
Bangladesh-12	1
Bangladesh-13	3
Bangladesh-14	3
Bangladesh-15	1
Bangladesh-16	4
Bangladesh-17	4
Bangladesh-18	3
Bangladesh-19	4
Bangladesh-20	1
Bangladesh-21	2
Bangladesh-22	1
Bangladesh-23	2
Bangladesh-24	3
Bangladesh-25	4
Bangladesh-26	2
Bangladesh-27	2
Bangladesh-28	2
Bangladesh-29	2
Bangladesh-30	2
Bangladesh-31	4
Bangladesh-32	4
Bangladesh-33	4
Bangladesh-34	2
Bangladesh-35	2
Bangladesh-36	1
Bangladesh-37	3
Bangladesh-38	1
Bangladesh-39	4
Bangladesh-40	4
Bangladesh-41	3
Bangladesh-42	1
Bangladesh-43	2
Bangladesh-44	2
Bangladesh-45	4
Bangladesh-46	4
Bangladesh-47	2
Bangladesh-48	2
Bangladesh-49	3
Bangladesh-50	4
Ghana-01	2
Ghana-02	1
Ghana-03	5
Ghana-04	2
Ghana-05	3
Ghana-06	2
Ghana-07	1
Ghana-08	3
Ghana-09	3
Ghana-10	3
Ghana-11	2
Ghana-12	1
Ghana-13	3
Ghana-14	5
Ghana-15	5
Ghana-16	5
Ghana-17	4
Ghana-18	2
Ghana-19	5
Ghana-20	1
Ghana-21	4
Ghana-22	2
Ghana-23	1
Ghana-24	1
Ghana-25	1
Ghana-26	4
Ghana-27	4
Ghana-28	4
Ghana-29	2
Ghana-30	3
Ghana-31	2
Ghana-32	2
Ghana-33	4
Ghana-34	5
Ghana-35	4
Ghana-36	4
Ghana-37	1
Ghana-38	2
Ghana-39	2
Ghana-40	4
Ghana-41	5
Ghana-42	3
Ghana-43	4
Ghana-44	2
Ghana-45	4
Ghana-46	5
Ghana-47	2
Ghana-48	4
Ghana-49	2
Ghana-50	3
