tool,usercriteria_installation_instructions_exist,notes_installation,userscore_installation,usercriteria_usage_instructions_exist,notes_usage,userscore_usage,usercriteria_tutorials_exist,notes_tutorials,userscore_tutorials,usercriteria_test_datasets_and_results_available,notes_test_data,userscore_test_data,devcriteria_open_source,notes_open_source,devscore_open_source,devcriteria_has_software_tests,notes_software_tests,devscore_software_tests,devcriteria_more_than_90%_code_coverage_reported,notes_code_coverage_reported,devscore_code_coverage,devcriteria_clear_channels_for_software_maintenance_and_issues,notes_channels,devscore_channels
MLMOI,,,,,,,,,,,,,,,,,,,,,,,,
MalHaploFreq,,,,,,,,,,,,,,,,,,,,,,,,
malaria.em,,,,,,,,,,,,,,,,,,,,,,,,
FreqEstimationModel,yes,,2,yes,Not comprehensive,1,yes ,,2,yes,test data - vignette generates results,1,yes,,2,no,,0,no,,0,yes,,2
MultiLociBiallelicModel,yes,,2,yes,,2,no,,0,yes,,2,yes,,2,no,,0,no,,0,yes,,2
pfmix,,,,,,,,,,,,,,,,,,,,,,,,
THEREALMcCOIL,yes,,2,yes,,2,no,,0,yes,test data; not results,1,yes,,2,no,,0,no,,0,no,,0
McCOILR,,,,,,,,,,,,,,,,,,,,,,,,
coiaf,yes,,2,yes,,2,yes,Not comprehensive,1,no,,0,yes,,2,yes,,2,no,,0,yes,,2
DEploid,,,,,,,,,,,,,,,,,,,,,,,,
Deploid-r,,,,,,,,,,,,,,,,,,,,,,,,
DEploidIBD,yes,,2,yes,,2,no,,0,yes,There is input and example output figures. But no files for output you could compare directly ,1,yes,,2,yes,,2,no,,0,yes,contact author  sha.joe.zhu@gmail.com joe.zhu@roche.com,2
isoRelate,yes,,2,yes,,2,yes,,2,no,"no output, but could compare to figures in tutorial",0,yes,,2,no,,0,no,,0,yes,contact author - lyndal_henden@hotmail.com,2
hmmIBD,yes,,2,yes,,2,yes,,2,yes,,2,yes,,2,no,,0,no,,0,yes,,2
paneljudge,yes,,2,yes,,2,yes,,2,yes,,2,yes,,2,yes,Not in standard R package test format but exist,1,no,,0,yes,contact author,2
dcifer,yes,,2,yes,,2,yes,,2,yes,,2,yes,,2,no,,0,no,,0,yes,,2
moire,yes,,2,yes,,2,yes,,2,yes,,2,yes,,2,yes,,2,no,,0,yes,,2
MALECOT,yes,,2,yes,,2,yes,,2,no,tutorial uses simulated data ,0,yes,,2,yes,,2,no,,0,yes,contact author,2
SIMPLEGEN,,,,,,,,,,,,,,,,,,,,,,,,
magenta,,,,,,,,,,,,,,,,,,,,,,,,
DRpower,yes,,2,yes,,2,yes,,2,no,,0,yes,,2,yes,,2,no ,,0,yes,,2
pixelate,yes,,2,yes,,2,yes,,2,yes,test data - vignette generates results,1,yes,,2,no,,0,no,,0,yes,contact author ,2
estMOI,no,,0,yes,,2,no,,0,no,,0,yes,,2,no,,0,no,,0,no,,0
forward-dream,,,,,,,,,,,,,,,,,,,,,,,,
moimix,,,,,,,,,,,,,,,,,,,,,,,,
hrp2malaRia,,,,,,,,,,,,,,,,,,,,,,,,
hmmibdr,,,,,,,,,,,,,,,,,,,,,,,,
MIPanalyzer,yes,,2,no,unable to find,0,yes,,2,yes,,2,yes,,2,yes,,2,no,,0,yes,,2
PlasmoSim,,,,,,,,,,,,,,,,,,,,,,,,
polySimIBD,,,,,,,,,,,,,,,,,,,,,,,,
discent,,,,,,,,,,,,,,,,,,,,,,,,
SNP-slice,,,,,,,,,,,,,,,,,,,,,,,,
BRO,,,,,,,,,,,,,,,,,,,,,,,,
Pv3Rs,,,,,,,,,,,,,,,,,,,,,,,,
Anti-malarial MCMC Bayesian Algorithm,,,,,,,,,,,,,,,,,,,,,,,,
AmpSeq,,,,,,,,,,,,,,,,,,,,,,,,
AmpSim,,,,,,,,,,,,,,,,,,,,,,,,
rehh,yes,,2,no,unable to find,0,yes,,2,yes,,2,yes,,2,yes,,2,no,,0,yes,contact author ,2
Hierfstat,yes,,2,yes,,2,yes,,2,yes,,2,yes,,2,no,,0,no,,0,yes,,2
MicroHaploHet,,,,,,,,,,,,,,,,,,,,,,,,
